A: Annotation informed 
B: BLAST based 
AB: Both 
Blank: neither

BiGG Models Name	Blongum	Fsuccinogenes	Ckluyveri	Zmobilis	Melsdenii	Lhilgardii	Efaecalis	Nstercoris
Phosphoketolase (xylulose-5-phosphate utilizing)	B					B		
Isocitrate lyase								
Enolase	AB	AB	AB	AB	AB	AB	AB	AB
4-hydroxybutanoyl-CoA dehydratase			B		B			
3-hydroxyacyl-CoA dehydratase (3-hydroxyheptanoyl-CoA)			B		B	B	B	
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)			B		B	B	B	
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)			B		B	B	B	
Fumarase		B	AB	B	A			A
Aconitate hydratase	AB	AB	A	AB		AB		B
Lactoyl CoA dehydratase					B			
3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)			B		B	B	B	
3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA)			B		B	B	B	
Methylglyoxal synthase							AB	
Lactoylglutathione lyase				B	B		B	AB
Lactate racemase					B			
Ribulose 5-phosphate 3-epimerase	AB	AB	AB	AB	AB	AB	AB	AB
UDPglucose 4-epimerase	AB	AB	AB		AB	AB	AB	AB
Aldose 1-epimerase				B		B	B	
Methylmalonyl-CoA epimerase								
Triose-phosphate isomerase	AB	AB	AB	AB	AB	AB	AB	AB
Galactose-6-phosphate isomerase			B	B	B		AB	
Arabino-3-hexulose-6-P Isomerase						B		
Xylose isomerase	AB					AB		
Ribose-5-phosphate isomerase	AB	AB	A	A	A	AB	AB	AB
Glucose 6 phosphate isomerase	B							B
Glucose-6-phosphate isomerase	AB	AB	A	AB		A	A	AB
Phosphoglycerate mutase	AB	A	A	AB	A	AB	AB	AB
Phosphoglucomutase			B		B	AB	AB	
Phosphopentomutase			B		B	B	B	
Methylmalonyl-CoA mutase								
Acetyl-CoA synthetase		B	B					AB
Succinate Coa ligase ADP forming	AB			AB				AB
Formate-tetrahydrofolate ligase	AB		AB	AB	AB	AB	AB	
Pyruvate carboxylase			AB		AB		AB	
Acetyl-CoA carboxylase			AB	AB			AB	AB
Propionyl-CoA carboxylase								
*ATP Synthase	A	A	A	A	A		A	AB
D-xylose transport via ABC system	B							
Hexokinase (D-glucose:ATP)					B			
L-lactate dehydrogenase	AB	B	AB		B	AB	AB	
6-phosphogluconolactonase				A				A
6-phosphogluconate dehydratase	B	B	B	AB	B	B		B
2-dehydro-3-deoxy-phosphogluconate aldolase		B		AB	AB	AB	B	
Pyruvate decarboxylase				B				
Lactate CoA transferase (acetyl-CoA)					AB			
Glucose 6-Phosphate Dehydrogenase	B			B		AB	B	B
Phosphoenolpyruvate carboxykinase (GTP)		AB						
Fumarate Reductase NADH								
Nucleoside-diphosphate kinase (ATP:GDP)		AB	AB				AB	AB
Electron confurcating hydrogenase								
